Seed,Total Nodes,Neighbor %,Bizantine %,Protocol,Time,Infected Nodes,Total Messages
420,150,0.15,0.3,AntiEntropy,6.021,100.0,1082
42,150,0.15,0.4,AntiEntropy,5.52,100.0,829
70,150,0.15,0.4,AntiEntropy,7.024,100.0,1261
420,150,0.15,0.4,AntiEntropy,5.519,100.0,868
42,50,0.05,0.1,AntiEntropy,6.52,100.0,265
70,50,0.05,0.1,AntiEntropy,13.543,100.0,717
420,50,0.05,0.1,AntiEntropy,8.526,100.0,504
42,50,0.05,0.2,AntiEntropy,15.047,100.0,966
70,50,0.05,0.2,AntiEntropy,10.031,100.0,534
420,50,0.05,0.2,AntiEntropy,11.033,100.0,774
42,50,0.05,0.3,AntiEntropy,9.029,100.0,544
70,50,0.05,0.3,AntiEntropy,7.523,100.0,342
420,50,0.05,0.3,AntiEntropy,10.532,100.0,638
42,50,0.05,0.4,AntiEntropy,7.022,100.0,279
70,50,0.05,0.4,AntiEntropy,8.526,100.0,428
420,50,0.05,0.4,AntiEntropy,6.52,100.0,351
42,50,0.1,0.1,AntiEntropy,7.524,100.0,417
70,50,0.1,0.1,AntiEntropy,7.523,100.0,462
420,50,0.1,0.1,AntiEntropy,6.52,100.0,305
42,50,0.1,0.2,AntiEntropy,6.018,100.0,300
70,50,0.1,0.2,AntiEntropy,7.523,100.0,423
420,50,0.1,0.2,AntiEntropy,5.517,100.0,236
42,50,0.1,0.3,AntiEntropy,8.526,100.0,545
70,50,0.1,0.3,AntiEntropy,10.533,100.0,717
420,50,0.1,0.3,AntiEntropy,6.521,100.0,369
42,50,0.1,0.4,AntiEntropy,8.025,100.0,473
70,50,0.1,0.4,AntiEntropy,5.517,100.0,275
420,50,0.1,0.4,AntiEntropy,5.517,100.0,332
42,50,0.15,0.1,AntiEntropy,8.025,100.0,437
70,50,0.15,0.1,AntiEntropy,10.03,100.0,715
420,50,0.15,0.1,AntiEntropy,5.015,100.0,268
42,50,0.15,0.2,AntiEntropy,6.52,100.0,347
70,50,0.15,0.2,AntiEntropy,4.514,100.0,202
420,50,0.15,0.2,AntiEntropy,6.52,100.0,425
